economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
DNK,2022.0,68091.3191138669,81.3048780487805,6456.08398438,3.1,6.35586977005005,5903037.0,HIC,ECS
DOM,2020.0,7135.22273255899,72.636,353.79364014,30.4,4.51769850778985,11008300.0,UMC,LCN
DOM,2021.0,8527.0754858205,71.757,416.68310547,29.8,3.58043271614957,11123476.0,UMC,LCN
DOM,2022.0,10104.2449349081,74.211,462.26287842,29.1,3.61088872070271,11230734.0,UMC,LCN
DZA,2020.0,3743.5419522929,73.257,211.07276917,20.4,6.19391724496515,44042091.0,UMC,MEA
DZA,2021.0,4160.55926736925,75.208,208.52682495,20.2,5.51403281769924,44761099.0,UMC,MEA
DZA,2022.0,4961.55257664733,76.129,179.69688416,20.0,4.74924673000603,45477389.0,UMC,MEA
EAP,2020.0,8391.36838432689,75.6976393295064,446.479702327493,12.5869944722223,3.15314171737183,2121866294.0,,
EAP,2021.0,9974.63640001599,75.2781418410849,514.728346249158,12.547202398466,2.94517488804327,2128553744.0,,
EAP,2022.0,10106.8725194012,75.9325409436903,510.485887004471,12.506974447304,2.28490151187525,2133560408.0,,
EAR,2020.0,3250.74974734387,69.8801308490982,162.009466846697,28.2962304261502,4.0905654220699,3396051187.0,,
EAR,2021.0,3765.51079786712,68.1790994839633,185.036170737778,27.3828551047971,3.86070382057691,3432026092.0,,
EAR,2022.0,4113.00084852322,71.4304552508694,187.714153624307,26.5516744711551,3.58951497077942,3470644834.0,,
EAS,2020.0,11595.2940923559,76.5434376080231,793.628342680854,12.0,3.30628991127014,2369438682.0,,
EAS,2021.0,13282.7636699758,76.1530093756951,879.237648700468,11.9,2.98212428478268,2375144416.0,,
EAS,2022.0,13084.2848090909,76.6767834400676,837.62284554189,11.8,2.88738689372749,2379648196.0,,
ECA,2020.0,5733.41761868436,73.5589573506665,313.055745223477,12.1551526460306,4.38613486289978,250660609.0,,
ECA,2021.0,6623.35137698536,72.8874329657208,373.16498640504,11.9176977604447,4.13580989837646,252189631.0,,
ECA,2022.0,7247.60981221236,74.5786223390478,367.800587645895,11.7494303786583,3.66751503944397,250840400.0,,
ECS,2020.0,24121.4791035767,77.1757484533311,2520.12746004454,6.9,4.85689997673035,923973838.0,,
ECS,2021.0,27591.4108786977,76.7287266936821,2852.86365963793,6.7,4.7092399597168,924702975.0,,
ECS,2022.0,27782.8616206223,77.8361130850842,2792.7297090373,6.6,4.56856989860534,925061269.0,,
